,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Schaghticoke village, New York: Summary level: 160, state:36> place:65475",83,13,5,20,3,137,77,0,12,20,0,60,0,2,0,0
"Schenectady city, New York: Summary level: 160, state:36> place:65508",12673,688,1122,3957,716,12089,8087,451,700,1357,46,4002,127,269,230,56
"Schenevus CDP, New York: Summary level: 160, state:36> place:65519",53,0,3,2,0,91,42,6,0,6,0,49,5,3,5,0
"Schoharie village, New York: Summary level: 160, state:36> place:65585",205,0,14,50,10,241,108,0,0,0,0,133,0,22,17,0
"Schroon Lake CDP, New York: Summary level: 160, state:36> place:65640",95,21,10,5,10,266,118,0,26,19,0,148,0,0,6,0
"Schuylerville village, New York: Summary level: 160, state:36> place:65750",271,17,27,41,10,402,277,28,6,20,0,125,7,3,14,0
"Scio CDP, New York: Summary level: 160, state:36> place:65761",38,0,0,4,0,175,95,3,12,0,0,80,3,0,0,0
"Scotchtown CDP, New York: Summary level: 160, state:36> place:65882",1353,40,89,293,48,1965,1521,126,159,168,0,444,15,0,16,17
"Scotia village, New York: Summary level: 160, state:36> place:65893",884,48,99,258,19,2024,1475,74,62,112,0,549,0,36,10,0
"Scottsburg CDP, New York: Summary level: 160, state:36> place:65926",3,0,0,0,3,49,30,0,4,6,0,19,3,0,0,0
"Scotts Corners CDP, New York: Summary level: 160, state:36> place:65948",57,0,0,39,0,173,105,10,0,28,0,68,0,17,0,0
"Scottsville village, New York: Summary level: 160, state:36> place:65959",272,14,11,21,3,648,441,14,5,41,0,207,6,6,6,20
"Sea Cliff village, New York: Summary level: 160, state:36> place:66047",487,0,47,85,87,1479,951,111,40,238,5,528,28,11,67,0
"Seaford CDP, New York: Summary level: 160, state:36> place:66058",533,63,50,82,20,4677,3188,360,262,563,0,1489,78,93,176,25
"Searingtown CDP, New York: Summary level: 160, state:36> place:66102",20,0,0,12,0,1416,861,51,85,142,0,555,17,89,59,0
"Selden CDP, New York: Summary level: 160, state:36> place:66212",1239,121,127,267,72,5187,4029,396,435,982,9,1158,45,57,178,9
"Seneca Falls CDP, New York: Summary level: 160, state:36> place:66322",1006,64,51,345,105,1888,1205,59,40,57,0,683,28,7,58,0
"Seneca Knolls CDP, New York: Summary level: 160, state:36> place:66366",73,0,14,15,13,789,464,53,14,22,15,325,13,14,0,0
"Setauket-East Setauket CDP, New York: Summary level: 160, state:36> place:66481",373,0,0,50,27,4811,3398,163,267,489,11,1413,65,57,161,0
"Sharon Springs village, New York: Summary level: 160, state:36> place:66663",103,5,12,22,2,106,57,0,0,17,0,49,3,3,0,0
"Shelter Island CDP, New York: Summary level: 160, state:36> place:66828",131,28,0,6,17,335,191,0,38,12,0,144,6,7,12,0
"Shelter Island Heights CDP, New York: Summary level: 160, state:36> place:66850",33,0,0,25,0,493,294,16,32,36,0,199,0,7,26,0
"Shenorock CDP, New York: Summary level: 160, state:36> place:66872",20,0,0,20,0,641,388,0,7,145,0,253,0,0,22,0
"Sherburne village, New York: Summary level: 160, state:36> place:66883",270,16,15,50,6,313,150,0,5,15,0,163,15,6,0,0
"Sherman village, New York: Summary level: 160, state:36> place:66949",58,0,9,8,8,200,117,7,3,2,0,83,3,0,0,0
"Sherrill city, New York: Summary level: 160, state:36> place:66993",336,33,64,50,6,1000,595,6,46,40,18,405,0,8,23,0
"Shinnecock Hills CDP, New York: Summary level: 160, state:36> place:67048",337,0,0,165,29,404,217,60,15,36,0,187,16,10,17,0
"Shirley CDP, New York: Summary level: 160, state:36> place:67070",1092,52,145,386,105,6580,4935,454,505,977,24,1645,30,108,288,77
"Shokan CDP, New York: Summary level: 160, state:36> place:67081",77,0,44,0,0,418,251,47,0,13,0,167,16,9,8,19
"Shoreham village, New York: Summary level: 160, state:36> place:67191",5,1,0,0,2,182,116,14,11,18,2,66,0,2,16,0
"Shortsville village, New York: Summary level: 160, state:36> place:67257",126,2,9,27,0,431,307,7,32,24,2,124,3,6,9,0
"Shrub Oak CDP, New York: Summary level: 160, state:36> place:67279",199,0,18,66,21,675,509,55,10,178,0,166,19,53,22,0
"Sidney village, New York: Summary level: 160, state:36> place:67334",771,95,40,142,28,1040,518,49,17,116,0,522,12,11,0,0
"Silver Creek village, New York: Summary level: 160, state:36> place:67411",253,36,11,43,16,829,511,29,37,50,0,318,0,11,39,5
"Silver Springs village, New York: Summary level: 160, state:36> place:67466",77,1,4,17,9,240,114,11,2,4,0,126,10,3,0,12
"Sinclairville village, New York: Summary level: 160, state:36> place:67488",59,5,2,2,12,154,93,7,2,9,0,61,0,0,11,0
"Skaneateles village, New York: Summary level: 160, state:36> place:67510",375,25,12,77,36,800,539,32,26,99,4,261,4,6,16,0
"Sleepy Hollow village, New York: Summary level: 160, state:36> place:67638",2141,220,123,695,83,1319,761,51,89,177,0,558,0,33,165,0
"Sloan village, New York: Summary level: 160, state:36> place:67686",465,39,41,90,21,1147,644,33,40,32,0,503,6,10,41,0
"Sloatsburg village, New York: Summary level: 160, state:36> place:67708",249,23,15,41,5,792,643,55,52,177,0,149,0,7,24,0
"Smallwood CDP, New York: Summary level: 160, state:36> place:67730",28,0,0,28,0,138,68,0,14,0,0,70,0,0,45,0
"Smithtown CDP, New York: Summary level: 160, state:36> place:67851",952,12,153,132,72,7566,5181,421,440,886,0,2385,117,175,277,8
"Smithville Flats CDP, New York: Summary level: 160, state:36> place:68088",46,0,21,8,4,141,82,4,3,26,0,59,0,8,0,0
"Smyrna village, New York: Summary level: 160, state:36> place:68099",15,0,0,5,0,49,22,7,0,0,0,27,1,0,0,0
"Sodus village, New York: Summary level: 160, state:36> place:68209",342,0,6,110,3,547,402,11,28,30,0,145,8,3,17,0
"Sodus Point village, New York: Summary level: 160, state:36> place:68242",77,9,0,28,12,345,212,14,28,37,0,133,2,18,11,2
"Solvay village, New York: Summary level: 160, state:36> place:68286",1396,131,86,265,95,1485,845,31,55,57,0,640,7,31,20,6
"Sound Beach CDP, New York: Summary level: 160, state:36> place:68374",365,111,30,56,22,2199,1650,157,110,390,0,549,24,32,53,0
"Southampton village, New York: Summary level: 160, state:36> place:68462",314,8,19,33,81,978,543,65,66,133,14,435,0,8,79,0
"South Blooming Grove village, New York: Summary level: 160, state:36> place:68610",170,0,60,15,8,975,712,100,61,156,19,263,15,37,44,0
"South Corning village, New York: Summary level: 160, state:36> place:68847",78,9,7,4,0,383,241,0,16,11,0,142,6,0,11,0
"South Dayton village, New York: Summary level: 160, state:36> place:68891",99,0,17,33,4,206,116,6,9,5,0,90,0,12,14,0
"South Fallsburg CDP, New York: Summary level: 160, state:36> place:68968",537,36,18,128,23,265,127,29,21,7,0,138,7,0,4,0
"South Farmingdale CDP, New York: Summary level: 160, state:36> place:69001",311,0,33,74,11,4497,3207,297,345,539,0,1290,53,94,225,6
"South Floral Park village, New York: Summary level: 160, state:36> place:69023",159,17,6,53,18,444,333,29,16,80,0,111,3,3,4,0
"South Glens Falls village, New York: Summary level: 160, state:36> place:69078",833,73,9,204,21,831,573,7,46,52,10,258,0,17,0,0
"South Hempstead CDP, New York: Summary level: 160, state:36> place:69188",169,0,0,96,0,832,525,18,19,84,32,307,8,22,30,0
"South Hill CDP, New York: Summary level: 160, state:36> place:69199",248,0,35,137,0,750,502,0,31,54,0,248,0,0,11,0
"South Huntington CDP, New York: Summary level: 160, state:36> place:69254",512,78,58,196,16,2817,1875,153,238,298,0,942,54,50,181,0
"South Lima CDP, New York: Summary level: 160, state:36> place:69364",31,0,0,22,0,57,12,0,0,0,0,45,0,0,0,0
"South Lockport CDP, New York: Summary level: 160, state:36> place:69386",1354,34,105,242,85,2319,1275,97,36,71,9,1044,32,56,56,14
"South Nyack village, New York: Summary level: 160, state:36> place:69441",529,44,25,107,33,702,474,46,89,78,0,228,0,0,56,15
"Southold CDP, New York: Summary level: 160, state:36> place:69452",302,16,33,55,61,2257,1297,105,64,132,0,960,40,0,174,0
"Southport CDP, New York: Summary level: 160, state:36> place:69606",912,26,133,279,87,2240,1163,14,54,77,0,1077,38,0,26,35
"South Valley Stream CDP, New York: Summary level: 160, state:36> place:69892",417,0,39,132,30,1535,1087,61,205,146,10,448,17,9,79,0
"Spackenkill CDP, New York: Summary level: 160, state:36> place:70035",84,0,12,9,20,1272,901,35,83,70,0,371,17,0,10,0
"Sparkill CDP, New York: Summary level: 160, state:36> place:70068",67,0,0,67,0,408,272,0,39,79,7,136,0,0,12,0
"Speculator village, New York: Summary level: 160, state:36> place:70123",21,0,7,3,11,80,28,1,3,0,0,52,0,3,4,0
"Spencer village, New York: Summary level: 160, state:36> place:70167",126,19,2,12,13,257,146,9,9,5,0,111,7,4,0,3
"Spencerport village, New York: Summary level: 160, state:36> place:70189",498,19,60,79,12,944,565,0,0,53,0,379,0,0,0,0
"Springs CDP, New York: Summary level: 160, state:36> place:70387",421,55,16,155,0,1952,1236,86,213,316,0,716,29,43,79,44
"Spring Valley village, New York: Summary level: 160, state:36> place:70420",6226,601,606,1994,143,2319,1723,143,233,497,0,596,19,38,90,0
"Springville village, New York: Summary level: 160, state:36> place:70442",674,41,110,68,51,1118,660,9,37,57,0,458,9,10,20,0
"Springwater Hamlet CDP, New York: Summary level: 160, state:36> place:70477",34,6,0,22,0,147,71,6,0,6,0,76,0,0,0,0
"Staatsburg CDP, New York: Summary level: 160, state:36> place:70552",0,0,0,0,0,136,120,8,7,35,0,16,0,0,0,0
"Stamford village, New York: Summary level: 160, state:36> place:70618",260,7,55,46,19,320,177,25,16,45,0,143,4,7,3,0
"Stannards CDP, New York: Summary level: 160, state:36> place:70717",198,4,39,96,8,267,93,0,7,0,0,174,0,20,9,0
"Star Lake CDP, New York: Summary level: 160, state:36> place:70849",60,0,3,16,0,258,128,13,6,18,0,130,5,0,7,0
"Stewart Manor village, New York: Summary level: 160, state:36> place:71267",126,24,25,3,7,682,391,23,24,36,0,291,14,24,30,0
"Stillwater village, New York: Summary level: 160, state:36> place:71322",197,4,21,44,3,471,300,20,5,27,0,171,0,16,0,3
"Stone Ridge CDP, New York: Summary level: 160, state:36> place:71597",63,0,0,63,0,389,309,0,0,14,0,80,0,11,14,0
"Stony Brook CDP, New York: Summary level: 160, state:36> place:71608",390,98,0,122,27,4413,2963,274,258,332,0,1450,64,62,108,0
"Stony Brook University CDP, New York: Summary level: 160, state:36> place:71620",0,0,0,0,0,39,26,0,0,0,0,13,0,0,0,0
"Stony Point CDP, New York: Summary level: 160, state:36> place:71663",606,31,77,145,20,3506,2454,262,341,394,0,1052,30,40,45,0
"Stottville CDP, New York: Summary level: 160, state:36> place:71718",192,0,0,21,21,421,222,0,24,60,0,199,17,8,0,0
"Strykersville CDP, New York: Summary level: 160, state:36> place:71817",59,15,0,3,5,163,106,13,11,17,0,57,4,6,0,0
"Suffern village, New York: Summary level: 160, state:36> place:71894",1290,68,185,264,85,3217,1908,124,160,363,0,1309,23,45,153,8
"Sunset Bay CDP, New York: Summary level: 160, state:36> place:72246",55,33,0,7,15,203,77,0,0,0,0,126,7,0,14,0
"SUNY Oswego CDP, New York: Summary level: 160, state:36> place:72327",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sylvan Beach village, New York: Summary level: 160, state:36> place:72521",105,0,10,31,14,337,194,0,25,37,0,143,6,0,39,0
"Syosset CDP, New York: Summary level: 160, state:36> place:72554",481,36,10,128,43,5690,3872,306,332,751,0,1818,63,61,359,8
"Syracuse city, New York: Summary level: 160, state:36> place:73000",33613,1721,2848,11157,2359,21816,14071,554,896,1575,39,7745,193,242,508,76
"Tannersville village, New York: Summary level: 160, state:36> place:73143",107,7,11,37,6,121,58,3,0,18,0,63,0,0,5,0
"Tappan CDP, New York: Summary level: 160, state:36> place:73154",66,0,0,22,23,2229,1531,117,156,238,0,698,34,53,46,0
"Tarrytown village, New York: Summary level: 160, state:36> place:73176",1734,80,250,458,71,2742,1782,148,177,270,0,960,50,28,242,0
"Terryville CDP, New York: Summary level: 160, state:36> place:73352",1010,57,96,354,24,2713,1968,185,213,430,18,745,35,49,126,14
"Thendara CDP, New York: Summary level: 160, state:36> place:73459",0,0,0,0,0,68,50,0,0,0,0,18,0,0,0,0
